id;DS100;name;VERKEHR;longitude;latitude
8012908;DSCK;Schöneck(Vogtl);nur DPN;12.343357;50.395988
8000343;DSCF;Schöneck(Vogtl) Ferienpark;nur DPN;12.347044;50.38957
8001248;FBHM;Schöneck-Büdesheim;RV;8.8436;50.214951
8003255;FKIL;Schöneck-Kilianstädten;RV;8.84042;50.201787
8004523;FOBD;Schöneck-Oberdorfelden;RV;8.823385;50.196149
8012910;BSL;Schönerlinde;nur DPN;13.428633;52.652182
8005405;HSWO;Schönewörde;nur DPN;10.634899;52.628178
8081290;BSNF;Schönfließ(b Oranienburg);RV;13.339419;52.665075
8012914;BSOE;Schönfließ(Mark) Dorf;nur DPN;14.472814;52.437028
8005418;MSGU;Schongau;nur DPN;10.902459;47.812327
8005406;MSNG;Schöngeising;RV;11.192051;48.14737
8010321;LSH;Schönhausen(Elbe);nur DPN;12.04008;52.591254
8007314;ASCK;Schönkirchen Bf;RV;10.229329;54.332873
8005409;RSOM;Schönmünzach;RV;8.369354;48.605345
8012918;WSCN;Schönow(Angerm);RV;14.153814;53.184946
8012919;USCS;Schönstedt;RV;10.585823;51.120752
8005400;NSGN;Schonungen;RV;10.304913;50.049204
8005412;NSOE;Schönwald(Oberfr);nur DPN;12.096647;50.199055
8081300;BSWH;Schönwalde(Barnim);nur DPN;13.432376;52.680106
8012923;BSCH;Schönwalde(Spreewald);RV;13.777723;51.990797
8005420;RSCH;Schopfheim;RV;7.822674;47.64797
8005425;RSCW;Schopfheim West;RV;7.801715;47.645541
8005421;TSPF;Schopfloch(b Freudenstadt);RV;8.547754;48.453711
8005423;SSCP;Schopp;RV;7.687317;49.358867
8005413;HSPP;Schöppenstedt;RV;10.772047;52.140692
8005424;TSF;Schorndorf;FV;9.52631;48.80715
8007191;TSFH;Schorndorf-Hammerschlag;nur DPN;9.534566;48.807605
8002695;HHDM;Schortens-Heidmühle;nur DPN;7.946367;53.542158
8005415;ESHM;Schötmar;nur DPN;8.754951;52.069935
8005431;TSCH;Schrezheim;RV;10.11788;48.951125
8005432;MSHN;Schrobenhausen;nur DPN;11.259237;48.565267
8005433;TSZG;Schrozberg;RV;9.974904;49.346916
8005435;ASC;Schülldorf;RV;9.747804;54.298863
8012927;USP;Schüptitz;nur DPN;12.029665;50.723169
8005436;HSTT;Schüttorf;nur DPN;7.22061;52.31684
8007080;ESCT;Schutzbach;nur DPN;7.903878;50.758491
